date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:42:54	191732/191732	---M--	200	added ('OK')	application/x-font-woff	etag:W/%22191732-1601417996000%22	https://www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-light-300.woff	/Library/WebServer/Documents/temp/bangun/www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-light-300.woff	(from https://www.sobatbangun.com/o/sobatbangun-theme/css/main.css?browserId=other&themeId=sobatbangun_WAR_sobatbanguntheme&minifierType=css&languageId=en_US&b=7006&t=1602779250258)
23:42:57	405628/405628	---M--	200	added ('OK')	application/x-font-ttf	etag:W/%22405628-1601417996000%22	https://www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-light-300.ttf	/Library/WebServer/Documents/temp/bangun/www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-light-300.ttf	(from https://www.sobatbangun.com/o/sobatbangun-theme/css/main.css?browserId=other&themeId=sobatbangun_WAR_sobatbanguntheme&minifierType=css&languageId=en_US&b=7006&t=1602779250258)
23:42:58	373744/373744	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22373744-1601417996000%22	https://www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-regular-400.eot	/Library/WebServer/Documents/temp/bangun/www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-regular-400.eot	(from https://www.sobatbangun.com/o/sobatbangun-theme/css/main.css?browserId=other&themeId=sobatbangun_WAR_sobatbanguntheme&minifierType=css&languageId=en_US&b=7006&t=1602779250258)
23:42:59	135488/135488	---M--	200	added ('OK')	text/plain	etag:W/%22135488-1601417996000%22	https://www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-regular-400.woff2	/Library/WebServer/Documents/temp/bangun/www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-regular-400.woff2	(from https://www.sobatbangun.com/o/sobatbangun-theme/css/main.css?browserId=other&themeId=sobatbangun_WAR_sobatbanguntheme&minifierType=css&languageId=en_US&b=7006&t=1602779250258)
23:42:59	373744/373744	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22373744-1601417996000%22	https://www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-regular-400.eot?	/Library/WebServer/Documents/temp/bangun/www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-regular-400d41d.eot	(from https://www.sobatbangun.com/o/sobatbangun-theme/css/main.css?browserId=other&themeId=sobatbangun_WAR_sobatbanguntheme&minifierType=css&languageId=en_US&b=7006&t=1602779250258)
23:43:00	178504/178504	---M--	200	added ('OK')	application/x-font-woff	etag:W/%22178504-1601417996000%22	https://www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-regular-400.woff	/Library/WebServer/Documents/temp/bangun/www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-regular-400.woff	(from https://www.sobatbangun.com/o/sobatbangun-theme/css/main.css?browserId=other&themeId=sobatbangun_WAR_sobatbanguntheme&minifierType=css&languageId=en_US&b=7006&t=1602779250258)
23:43:02	373520/373520	---M--	200	added ('OK')	application/x-font-ttf	etag:W/%22373520-1601417996000%22	https://www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-regular-400.ttf	/Library/WebServer/Documents/temp/bangun/www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-regular-400.ttf	(from https://www.sobatbangun.com/o/sobatbangun-theme/css/main.css?browserId=other&themeId=sobatbangun_WAR_sobatbanguntheme&minifierType=css&languageId=en_US&b=7006&t=1602779250258)
23:43:03	1646429/1646429	---M--	200	added ('OK')	image/svg+xml	etag:W/%221646429-1601417996000%22	https://www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-light-300.svg	/Library/WebServer/Documents/temp/bangun/www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-light-300.svg	(from https://www.sobatbangun.com/o/sobatbangun-theme/css/main.css?browserId=other&themeId=sobatbangun_WAR_sobatbanguntheme&minifierType=css&languageId=en_US&b=7006&t=1602779250258)
23:43:03	317116/317116	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22317116-1601417996000%22	https://www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-solid-900.eot	/Library/WebServer/Documents/temp/bangun/www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-solid-900.eot	(from https://www.sobatbangun.com/o/sobatbangun-theme/css/main.css?browserId=other&themeId=sobatbangun_WAR_sobatbanguntheme&minifierType=css&languageId=en_US&b=7006&t=1602779250258)
23:43:04	110892/110892	---M--	200	added ('OK')	text/plain	etag:W/%22110892-1601417996000%22	https://www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-solid-900.woff2	/Library/WebServer/Documents/temp/bangun/www.sobatbangun.com/o/sobatbangun-theme/plugins/fontawesome-5.5.0/webfonts/fa-solid-900.woff2	(from https://www.sobatbangun.com/o/sobatbangun-theme/css/main.css?browserId=other&themeId=sobatbangun_WAR_sobatbanguntheme&minifierType=css&languageId=en_US&b=7006&t=1602779250258)
